original_filename,image_url
Screenshot 2025-08-01 172322.png,http://localhost:8000/uploads/products/f1b55e73-7955-47f5-abf0-c8f32eee469d.png
Screenshot 2025-08-01 151309.png,http://localhost:8000/uploads/products/278cc907-d392-440c-8cfa-389caee21e7f.png
Screenshot 2025-07-31 162018.png,http://localhost:8000/uploads/products/d7b84154-9252-43d0-9281-7bea315c4a7a.png
Screenshot 2025-07-31 154310.png,http://localhost:8000/uploads/products/42f7c9c0-3196-4365-830b-89e621dce0bd.png
Screenshot 2025-07-30 144536.png,http://localhost:8000/uploads/products/02945d87-5921-46fc-be06-ebfbc79739bf.png
screencapture-localhost-8502-Podcasts-2025-07-29-17_27_27.png,http://localhost:8000/uploads/products/37672e51-61f7-498e-a8af-86fbdd7a7143.png
screencapture-localhost-8502-Podcasts-2025-07-29-17_16_07.png,http://localhost:8000/uploads/products/8eda7109-0525-47a4-b7ff-b8038934f021.png
Screenshot 2025-07-29 153704.png,http://localhost:8000/uploads/products/514eee87-d53b-4961-8034-2f85658ce5f5.png
screencapture-localhost-8502-Models-2025-07-29-11_56_07.png,http://localhost:8000/uploads/products/bcc5d176-f3b2-4106-a957-3f80b12ee117.png
